job_name,org_name,deadline,loc_name
Organization to Provide VUSTA Capacity Building Training Courses,IIE,"Fri, 2018-03-09",NA
Internship - AgResults Vietnam GHG Emissions Reduction Pilot (AVERP),SNV,"Mon, 2018-02-19",HA NOI
Consultancy Service to Support for Environmental and Social Co-benefit and Risk Assessment of Nghe An and Thanh Hoa's Provincial REDD+ Action Plans,SNV,"Sat, 2018-02-24",HA NOI
Qualitative Researcher,WOOLCOCK INSTITUTE,"Wed, 2018-02-28",HO CHI MINH
Consultant to Lead the End of Project Evaluation of EREM,WORLD VISION,"Fri, 2018-02-23",HA NOI
Youth Employment ICT Officer,SAVE THE CHILDREN,"Sat, 2018-02-10",HA NOI
Consultant on Gender Equality and Private Sector,IFC,"Mon, 2018-03-05",HA NOI
Programme Officer,THE GLOBAL FUND SUPPORTED PROJECT ON HIV/AIDS,"Wed, 2018-02-28",HA NOI
Country Support Associate ,CHAI,"Thu, 2018-02-15",NA
Finance Administrator,CHAI,"Thu, 2018-02-15",NA
Company/Organization to Design and Develop Interactive Educational Application for Mine Risk Education Project,CRS,"Wed, 2018-02-28",NA
Operations Intern; Digital Design and Communications Intern,AFAP,"Wed, 2018-02-28",HA NOI
Governance and Legal Reform/Law Enforcement Specialist,WILDLIFE CONSERVATION SOCIETY (WCS),"Sat, 2018-03-10",HA NOI
Project Coordinator,WORLD VISION,"Wed, 2018-02-28",HA NOI
FERARRI Project Manager,SAVE THE CHILDREN,"Sun, 2018-02-25",HA NOI
HANSOL Project Manager,SAVE THE CHILDREN,"Sun, 2018-02-25",DA NANG
KOICA Project Intern,SAVE THE CHILDREN,"Sun, 2018-02-25",HA NOI
Program Intern,EAST MEETS WEST FOUNDATION,"Wed, 2018-02-28",HA NOI
Technical Director,CHEMONICS INTERNATIONAL,"Wed, 2018-02-28",HO CHI MINH
IT Consultant;  Consultant for Developing S-City Mobile Phone Application,ACTIONAID,"Thu, 2018-02-22",NA
Migrant Services Assistants (05 positions),IOM,"Fri, 2018-02-16",NA
Project Administrator,SNV,"Fri, 2018-02-09",HA NOI
Call for Bid: External Audit of 2017 Financial Statements of ANH-CHI-EM Program,ENTREPRENEURS DU MONDE (EDM),"Sat, 2018-03-10","HA NOI, HO CHI MINH"
Monitoring and Evaluation (M&E) Officer,FIT,"Sun, 2018-02-25",HO CHI MINH
Consultant Team to Conduct Combined Research on Technology Adoption in Coffee Cultivation and Coffee Post Harvest Processing for Ethnic Minority Producers,CARE INTERNATIONAL,"Mon, 2018-02-26",HA NOI
Consultant to Review and Finalize MRE Integration Guideline for Mine Risk Education Project,CRS,"Sun, 2018-02-25","HA NOI, CAO BANG"
Program Officer,HABITAT FOR HUMANITY VIETNAM,"Wed, 2018-02-28",HO CHI MINH
Part-time Psychologist,HAGAR INTERNATIONAL,"Fri, 2018-02-23",HA NOI
Volunteers at HELVETAS/CRED,HELVETAS/CRED,"Wed, 2018-02-28",NA
"Director, IDTS",ROOM TO READ,"Wed, 2018-02-28",NA
Zonal Operation Officer,WORLD VISION,"Sun, 2018-02-25",NA
Study Officer,WOOLCOCK INSTITUTE,"Wed, 2018-02-28",HA NOI
Illegal Wildlife Trade Program Manager,WWF,"Wed, 2018-02-21","MYANMAR, LAO, VIETNAM"
Leadership Development Fellow,TEACH FOR VIETNAM,"Sun, 2018-04-15",HO CHI MINH
AP Development Facilitator,WORLD VISION,"Wed, 2018-02-07",HA NOI
Senior Project Officer (2 positions),GIZ,"Sat, 2018-02-24","TUYEN QUANG, SON LA"
Income Generation Officers ,GNI,"Tue, 2018-02-13","HA NOI, HO CHI MINH"
Consultant on Social Health Insurance ARV Quantification,CHEMONICS INTERNATIONAL,"Thu, 2018-02-08","HA NOI, HO CHI MINH"
"Finance Manager, Arts and Creative Industries",BRITISH COUNCIL,"Sun, 2018-02-18",DA NANG
"Programme Manager, Arts and Creative Industries",BRITISH COUNCIL,"Tue, 2018-02-13",NA
Communications Assistant,ECODIT,"Wed, 2018-02-28",NA
Specialists for Anticipated five-year USAID Trade Facilitation Activity Project,CHEMONICS INTERNATIONAL,"Mon, 2018-02-19",HA NOI
"Monitoring, Evaluation, Research and Learning Manager",COWATERSOGEMA,"Fri, 2018-02-09",HA NOI
Consultants at Aus4Reform Program,AUS4REFORM PROGRAM,"Sun, 2018-02-11",DAK NONG
Development Facilitator,WORLD VISION,"Mon, 2018-02-05",HO CHI MINH
Development Facilitator,WORLD VISION,"Wed, 2018-02-07",HA NOI
Vacancies at AGROINFO,AGROINFO,"Wed, 2018-02-28",HO CHI MINH
Project Interpreter/Translator,Ã‚â‚¬Å’HCMCES-2Ã‚â‚¬ï¿½ PROJECT,"Wed, 2018-02-28",HO CHI MINH
Project Assistant,Ã‚â‚¬Å’HCMCES-2Ã‚â‚¬ï¿½ PROJECT,"Wed, 2018-02-28",HA NOI
Request for Proposal Ã¢â‚¬â€œ Audit Services,EEPSEA,"Fri, 2018-02-02",NA
Program Assistant,UNIVERSITY OF HAWAI'I,"Wed, 2018-02-28",NA
Knowledge and Learning Officer,EAST MEETS WEST FOUNDATION,"Sat, 2018-02-10",HA NOI
Call for Expressions of Interests - SNV/IBA Project,SNV,"Wed, 2018-02-28",HO CHI MINH
"Director, Instructional Design & Teacher Support",ROOM TO READ,"Wed, 2018-01-31",DIEN BIEN
Organic Consultant for Agriculture Value Chains,HELVETAS,"Wed, 2018-01-31",DIEN BIEN
Special Project Officer Ã¢â‚¬â€œ Ã¢â‚¬Å“Anti - children trafficking in Tua Chua in Dien Bien provinceÃ¢â‚¬ï¿½,WORLD VISION,"Sun, 2018-02-04",YEN BAI
Area Program Coordinator,WORLD VISION,"Sun, 2018-02-04",HA NOI
Special Project Officer Ã¢â‚¬â€œ Living Values,WORLD VISION,"Sun, 2018-02-04",HA NOI
Consultancy Services to Carry out the Feasibility Study on Labour Inspection Information Management System,ILO,"Wed, 2018-02-07",NA
Finance Officer (FD) and Auditor cum Finance Officer,GNI,"Tue, 2018-02-13",NA
Administrative Officer (3 positions),GIZ,"Mon, 2018-02-05",NA
Communications Strategist,DAI,"Tue, 2018-02-20",CA MAU
Customs and ICT Specialist,DAI,"Tue, 2018-02-20",CAO BANG
Call for Resumes: Monitoring and Evaluation Specialist,DAI,"Tue, 2018-02-20",HA NOI
SME Finance Specialist,DAI,"Tue, 2018-02-20",HO CHI MINH
Trade Facilitation Specialist,DAI,"Tue, 2018-02-20",NA
International Intern,SNV,"Mon, 2018-01-29",NA
Program Officer,CHILDFUND VIETNAM,"Sat, 2018-02-10",NA
Request for Expressions of Interest: Auditing Services for Project Ã¢â‚¬Å“Northern mountain integrated child nutrition improvementÃ¢â‚¬ï¿½ ,SAVE THE CHILDREN,"Fri, 2018-02-09",NA
Consultant Team to Carry out Project Baseline Survey,ACTIONAID,"Wed, 2018-02-07",NA
PR cum Communication Officer,Ã‚â‚¬ËœTECHNICAL VOCATION EDUCATION AND TRAINING' (TVET) PROJECT,"Thu, 2018-02-08",NA
ESL Teachers (2 positions),AUSTRALIAN EMBASSY,"Wed, 2018-01-31",NHA TRANG
MEAL Intern,SAVE THE CHILDREN,"Wed, 2018-01-31",HA NOI
Civil Society-led Promotion of Quality Sexual and Reproductive Healthcare Services (EC4) Training Consultant ,ACTIONAID,"Sat, 2018-01-27",HA NOI
Consultant Team to Provide Technical Assistance in Development of a Proposing Draft Circular on Sustainable Forest Management Regulations,WINROCK INTERNATIONAL,"Wed, 2018-01-31",HA NOI
Consultant for Documentation Private Sector Engagement Programme,OXFAM,"Sun, 2018-02-04",AN GIANG
DRR &ER Project Assistant,SAVE THE CHILDREN,"Wed, 2018-01-31",HA NOI
Communications Consultant,AEAI,"Thu, 2018-01-25",HA NOI
Researcher - Agronomy and Pest Ecology,IRRI,"Mon, 2018-02-12",NA
Consultant for Review and Assess Policies for Rice Sector Development in Thai Nguyen Province,OXFAM,"Sun, 2018-01-28",NA
Project Manager/Gender Specialist,OXFAM,"Fri, 2018-02-02",NA
Programme Officer - Value Chain Development (Re-advertised),OXFAM,"Fri, 2018-02-02",HA NOI
Consultant Teams to Conduct Researchs ,CDSH,"Fri, 2018-02-02",HA NOI
Project Officer,PLAN INTERNATIONAL,"Mon, 2018-01-29",HA NOI
"Consultant to Conduct Training Course ""Working with Journalists and Using Social Media for Advocacy PurposeÃ¢â‚¬ï¿½",CDI,"Fri, 2018-02-02",HA NOI
Junior Project Assistant,SAVE THE CHILDREN,"Wed, 2018-01-24",HA NOI
Project Assistant,SAVE THE CHILDREN,"Wed, 2018-01-24",BAC KAN
Communication and Advocacy Officer,AIDE ET ACTION VIETNAM,"Mon, 2018-01-29",NA
External Audit Firm,ACTIONAID,"Fri, 2018-01-26",NA
National Consultant for Project Final Evaluation,CARE INTERNATIONAL,"Wed, 2018-01-31",NA
English Language Instructor,LUX-DEVELOPMENT,"Sat, 2018-01-27",NA
Research Coordinator,IPS,"Sat, 2018-02-10",HA NOI
Vacancies at Chemonics International,CHEMONICS INTERNATIONAL,"Thu, 2018-02-01",HO CHI MINH
"Consultant/Firm to Conduct a Baseline Study for the Partnership to Inspire, Transform and Connect the HIV  Response (PITCH) Programme in Vietnam",SCDI,"Fri, 2018-01-19",HA NOI
Consultant/Firm to Conduct Project Final Evaluation,PLAN INTERNATIONAL,"Tue, 2018-01-30",HA NOI
"Consultant to Product a Short Film for Project ""Disadvantaged youth Vocational Training in Hanoi""",PLAN INTERNATIONAL,"Wed, 2018-01-31",HO CHI MINH
Information and Communication Technology (ICT) Assistant,IOM,"Thu, 2018-02-01",HO CHI MINH
Impulse Coordinator,AHF,"Tue, 2018-01-30",HO CHI MINH
Project Officer,SAVE THE CHILDREN,"Sat, 2018-01-27",HA NOI
"Consultancy Service for ""Soil Improvement Pilot Project""",SNV,"Tue, 2018-01-23",NA
Consultant Firm for Cookstove Verification,SNV,"Mon, 2018-02-26",NA
Liaison Officer,WILDLIFE CONSERVATION SOCIETY (WCS),"Wed, 2018-02-28",MOZAMBIQUE
Administrative Assistant,PMU OF EMPS PROJECT,"Fri, 2018-01-19",HA NOI
Administrative and Accounting Assistant,UNC,"Thu, 2018-02-15",HA NOI
Project Delivery Coordinator,USAID V-LEEP PROJECT,"Wed, 2018-01-31",HA NOI
"Monitoring, Evaluation Report and Learning Officer",AECOM AUS4TRANSPORT,"Wed, 2018-01-31",HA NOI
Consultants to Conduct Project Mid-term Review ,AFAP,"Wed, 2018-01-31",HA NOI
Consultant for Mid-Term Evaluation of Sustainable and Equitable Shrimp Production and Value Chain Development in Vietnam (SusV) Project,OXFAM,"Wed, 2018-01-31",AN GIANG
Project Intern,WOOLCOCK INSTITUTE,"Tue, 2018-01-23",HA NOI
Researcher - Agronomy and Pest Ecology,IRRI,"Wed, 2018-01-24",NA
PR & Communication Officer Ã¢â‚¬Å“TVETÃ¢â‚¬ï¿½,GIZ,"Wed, 2018-01-31",NA
Project Officer,GIZ,"Mon, 2018-01-22",HA NOI
Volunteers at Maison Chance,MAISON CHANCE,"Wed, 2018-02-28",HO CHI MINH
Sale & Marketing Specialist,MAISON CHANCE,"Wed, 2018-02-28",HO CHI MINH
National Project Coordinator,ILO,"Fri, 2018-01-19",HA NOI
"Consultancy Service to Conduct Consumer Research to Identify the Usage and Attitude of Wildlife Consumers of Targeted Three Endangered Species Ã¢â‚¬â€œ Rhino, Ivory and Pangolin in Vietnam",USAID SAVING SPECIES,"Tue, 2018-02-06",HA NOI
Contract and Procurement Officer,AECOM AUS4TRANSPORT,"Wed, 2018-01-31",HA NOI
Education Assistant,PLAN INTERNATIONAL,"Thu, 2018-01-18",HA NOI
Consultant to Conduct Project Final Evaluation,CARE,"Thu, 2018-01-18",HA NOI
Receptionist,ORBIS,"Fri, 2018-01-19",NA
Program Officer Ã¢â‚¬â€œ Children and Youth Program,SCDI,"Wed, 2018-01-31",NA
Internship at ChildFund Vietnam (3 positions),CHILDFUND VIETNAM,"Mon, 2018-01-29","CAO BANG, BAC KAN, HOA BINH"
Driver,GNI,"Wed, 2018-01-31",HA NOI
Admin & Logistics Officer,SAVE THE CHILDREN,"Fri, 2018-01-26",HA NOI
International Consultant/Team to Conduct an Organizational and Management Review,NMA-V,"Fri, 2018-01-26",HA NOI
Team Assistant/Program Assistant,IFC,"Mon, 2018-01-22",HA NOI
School and Community Fundraiser,BLUE DRAGON CHILDRENÃ‚â‚¬â„¢S FOUNDATION,"Mon, 2018-01-22",THANH HOA
Development Facilitator,WORLD VISION,"Wed, 2018-01-31",YEN BAI
Temporary Project Assistant,WORLD VISION,"Sun, 2018-01-21",DIEN BIEN
Special Project Officer,WORLD VISION,"Sun, 2018-01-21",DIEN BIEN
Development Facilitator,WORLD VISION,"Sun, 2018-01-21",NA
Area Program Coordinator,WORLD VISION,"Sun, 2018-01-21",DIEN BIEN
Special Project Officer Ã¢â‚¬â€œ Living Values,WORLD VISION,"Sun, 2018-01-21",YEN BAI
Consultant to Develop Guideline for Forest Governance Applying Principles of HRBA and Good Governance,ACTIONAID,"Wed, 2018-01-17",HA NOI
Accounting & Admin Assistant,OPERATION SMILE,"Wed, 2018-01-24",HA NOI
"Monitoring, Evaluation Report and Learning Officer",AECOM AUS4TRANSPORT,"Wed, 2018-01-31",HA NOI
Policy Officer Ã¢â‚¬â€œ Illegal Wildlife Trade,BRITISH EMBASSY,"Thu, 2018-01-25",HA NOI
Senior Programme Officer; Project Officer,LIVE&LEARN,"Tue, 2018-01-30",HA NOI
MEAL Intern,SAVE THE CHILDREN,"Wed, 2018-01-17",HA NOI
Education Assistant,PLAN INTERNATIONAL,"Wed, 2018-01-10",HA NOI
Policy and Communications Manager,WILDLIFE CONSERVATION SOCIETY (WCS),"Wed, 2018-01-31",NA
Vacancies at Save the Children,SAVE THE CHILDREN,"Wed, 2018-01-24","HA NOI, HAI PHONG, DA NANG,QUANG BINH, HO CHI MINH, CAN THO"
IT and Data Management,OUCRU-VN,"Thu, 2018-01-18",HA NOI
Public Sector Partnerships Coordinator,WWF,"Wed, 2018-01-24","LAO, VIETNAM, CAMBODIA, MYANMAR"
"Director, IDTS",ROOM TO READ,"Wed, 2018-01-31",HO CHI MINH
Finance Intern,SAVE THE CHILDREN,"Mon, 2018-01-15",HA NOI
Community Forestry Partnership Coordinator,RECOFTC,"Mon, 2018-01-29",HA NOI
Internship at RECOFTC ,RECOFTC,"Mon, 2018-01-29",HA NOI
Consultancy Service for Final Evaluation of the Project Ã¢â‚¬Å“Non-state Actors Promoting Budget TransparencyÃ¢â‚¬ï¿½,CECEM,"Fri, 2018-01-19",HA NOI
Project Assistant,UNC,"Wed, 2018-01-31","HA NOI, LAO CAI, , SON LA"
Institutional Development and Governance Consultant,COWATERSOGEMA,"Sun, 2018-01-14",NA
(Agricultural) Market Systems Consultant,COWATERSOGEMA,"Sun, 2018-01-14","HA NOI, LAO CAI, , SON LA"
"Gender, Ethnic Minority and Poverty research Specialist",COWATERSOGEMA,"Sun, 2018-01-14","HA NOI, LAO CAI, , SON LA"
Consultant for Project Evaluation,MCD,"Fri, 2018-01-12",DALAT
Research Associate- Consultant,CIP,"Sun, 2018-01-28",DALAT
Research Auxiliary- Consultant,CIP,"Sun, 2018-01-28",HA NOI
Research Assistant- Consultant,CIP,"Sun, 2018-01-28",HO CHI MINH
Consultant to Design and Develop an Interactive Educational Application for Mine Risk Education Project ,CRS,"Wed, 2018-01-10",NA
Call for Experts for Anticipated USAID-funded SME Linkages Project in Vietnam,NATHAN ASSOCIATES,"Mon, 2018-01-15",NA
Project Manager,MARIE STOPES INTERNATIONAL (MSI),"Wed, 2018-01-31",NA
Program Officer,WILDLIFE CONSERVATION SOCIETY (WCS),"Wed, 2018-01-31",NA
Programme Administrative Officer,OXFAM,"Wed, 2018-01-17",HA NOI
Project Officer,WWF,"Fri, 2018-01-19",HO CHI MINH
Ornithologist Consultant,WWF,"Fri, 2018-01-12",HA NOI
Accountant,CIAT ASIA,"Wed, 2018-01-31",HA NOI
Consultancy Service on Ã¢â‚¬Å“Adaptation of Communications Toolboxes on OSH for Young Workers and Young Employers and Piloting in the Manufacturing sector in Viet NamÃ¢â‚¬ï¿½,ILO,"Sun, 2018-01-07",HO CHI MINH
Internship for Disaster Risk Reduction Project,CRS,"Sun, 2018-01-28",HO CHI MINH
Finance and Accounting Associate (Temporary),ROOM TO READ,"Mon, 2018-01-15",NA
Consultants at AAV,ACTIONAID,"Sat, 2018-01-13",NA
Child Sponsorship Program (CSP) Officer,CHRISTINA NOBLE CHILDRENÃ‚â‚¬â„¢S FOUNDATION,"Wed, 2018-01-31",NA
Request for Quotations: Provision of 250 tablets LENOVO PHAB 2,ECODIT,"Thu, 2018-01-11",NA
"Associate, Research Monitoring & Evaluation (RM&E)",ROOM TO READ,"Mon, 2018-01-15",HO CHI MINH
Program Officer,WILDLIFE CONSERVATION SOCIETY (WCS),"Wed, 2018-01-31",HA NOI
